"NC"	"Aflatoxin.B1"	"Cadmium.chloride"
23.723495	23.22218	23.405727
27.913078	26.973156	26.804995
20.539108	20.199362	20.590086
20.271368	19.883806	20.14896
24.571268	22.960718	23.674423
24.52486	23.977726	24.111803
32.21151	33.500496	32.261852
23.53184	23.1503	23.408886
21.973673	22.532427	22.164549
22.5318	21.902372	22.132822
22.542902	22.535557	22.39842
23.391674	23.206732	23.155968
23.951612	23.638695	23.529547
NA	36.777462	36.399364
34.30871	35.869743	35.779392
34.57321	34.724133	34.285748
30.388403	30.34053	30.71521
30.658587	30.487259	31.265835
30.820303	31.20977	30.670668
33.687706	37.88148	38.58243
34.99034	36.255676	33.70516
32.9385	31.647558	34.601215
29.33769	28.352463	28.65531
26.296045	27.940292	26.781185
33.66175	29.660387	31.690626
25.678242	24.727085	25.630064
34.31851	33.767963	34.115486
37.36165	36.811443	37.069004
21.9145	22.968952	22.4033
25.795685	24.769192	25.14118
25.545166	25.65733	25.86849
22.852486	22.108799	21.975485
23.81704	23.959269	23.982193
23.885988	24.749609	23.743237
29.370342	28.208145	28.826729
32.81397	32.9218	31.49576
32.549538	30.424732	30.340176
24.804113	24.397095	24.65943
21.153679	21.505932	20.86997
22.28448	22.714895	22.570078
25.293507	24.887222	25.279364
23.40881	22.817383	22.879839
23.803766	23.928595	23.705112
21.482506	20.906155	21.26103
20.786442	20.588232	20.57179
29.824759	29.493654	29.444197
20.617409	20.438915	20.431042
20.54459	19.67351	19.839796
23.548925	23.381222	23.31351
24.817	25.127478	24.929638
24.168404	22.852316	23.357164
24.000065	23.38719	23.889914
23.58196	23.600088	23.358454
32.17376	31.178274	31.663527
24.42948	24.344084	24.086565
26.136053	24.705938	25.025707
22.475105	23.546175	22.680017
25.699272	25.310707	25.237154
24.907494	24.6381	24.643076
26.655064	25.541546	25.683565
27.007215	27.928473	27.644657
24.483387	25.22931	24.646236
26.309412	26.730085	26.147738
23.149752	23.211214	22.703001
26.551107	24.837563	25.517782
26.26887	26.292425	25.926432
25.130493	24.109625	24.659622
27.95843	26.736937	27.421383
23.199839	23.22424	22.74948
24.915705	24.892256	24.651329
32.618454	33.271317	33.34556
22.540161	22.512888	22.290937
27.998041	28.77178	27.93701
29.945875	28.983994	29.50335
24.581486	24.125143	24.164213
25.898762	24.786232	25.376793
23.577614	23.937307	23.927954
22.808657	20.65306	21.790905
34.773037	32.361385	34.217793
21.682245	21.306389	21.409811
24.886127	25.578928	24.96324
22.906527	23.366064	23.49238
22.38356	22.966562	22.443874
27.767015	27.82651	27.338308
23.69099	24.251842	23.667213
23.758062	23.695395	23.709175
23.134073	22.714237	22.785563
21.965162	21.764978	21.652742
20.611729	20.364874	20.519411
26.592491	25.782936	25.645475
30.607576	29.294353	30.284035
33.88681	35.450512	34.738613
23.931091	23.919813	23.550768
31.810495	32.013893	32.088047
28.430504	26.592243	27.478928
22.836899	22.443748	22.759016
35.360924	33.526375	34.517563
35.567055	35.277016	35.82267
23.591469	23.71409	23.952688
20.325272	21.120167	20.713945
19.4569	20.339724	19.958385
22.28798	21.878782	21.984924
21.745537	21.728148	21.672907
24.781773	24.922203	24.637552
24.147299	24.36785	24.31009
22.754042	22.490953	22.654455
23.083464	22.966133	22.939484
24.408272	23.976824	24.93363
24.274818	24.170227	24.179794
18.499624	18.39768	18.521898
25.197468	26.809723	25.787409
28.583767	28.606339	28.487917
31.64539	32.931145	33.39253
23.96888	23.546604	23.53546
20.423565	20.186232	20.474327
27.74991	27.420803	27.248243
25.956604	26.513954	25.589918
24.50638	24.931252	24.631197
24.159805	24.190746	24.163975
23.25452	23.087349	23.126663
21.71954	21.745012	21.783854
NA	NA	NA
27.181892	27.250835	27.409693
24.765959	24.905874	24.710876
27.178211	27.13028	26.996477
22.320951	21.684824	21.84832
28.55044	28.188934	28.175627
23.452492	22.53391	22.6957
24.923498	24.766424	24.73795
36.385345	35.45634	37.342575
27.748297	27.655432	27.198463
27.160429	25.86691	26.45109
23.8477	23.104502	23.156027
23.622879	23.424915	23.198212
23.782637	23.90903	23.859865
24.402607	23.50252	23.941898
33.315155	30.583471	31.428442
27.464836	27.44428	27.421453
23.962032	23.54586	23.841543
24.631426	24.340006	24.389515
27.13337	26.829195	29.82096
26.520483	25.825365	25.994215
24.672	24.009706	24.160275
24.57524	23.998526	24.277534
22.900126	22.987202	22.833572
34.011215	32.811684	38.64716
30.82288	30.67306	31.076866
35.26518	33.252617	32.69882
22.65542	22.588425	22.804188
33.20061	35.422813	38.250134
21.231115	22.243505	21.927147
22.40367	21.988152	22.292772
24.171717	24.295362	24.348986
20.693594	21.137815	22.130135
25.228085	24.921326	24.983593
28.347395	27.912039	28.295406
28.420952	27.323843	27.735699
25.768164	24.817577	24.763243
21.939135	21.384413	21.53325
17.12745	16.5573	16.574142
18.485167	18.340706	18.47229
19.240921	18.869928	18.685045
25.624563	24.603806	25.306633
17.550024	16.923784	16.97481
36.427704	36.478317	36.16221
36.472553	35.542557	35.270622
36.753048	36.264446	34.300766
22.5488	22.346869	22.582706
22.361803	22.442156	22.481037
22.406433	22.334393	22.34881
19.167276	19.208832	19.206476
19.231812	19.144512	18.9266
19.009289	19.334969	19.21106
