"NC"	"PFOS"	"PFOA"	"Aflatoxin.B1"	"Cadmium.chloride"	"Lasiocarpine"
25.159752	23.342842	25.220871	25.747854	23.19525	23.465857
26.200342	25.429405	26.463907	26.325771	25.64741	24.905384
31.570717	30.710573	31.299852	30.358196	26.69816	31.9551
32.22515	32.439705	33.207703	33.707012	30.99206	31.655544
24.82376	22.426079	23.974154	27.628002	25.624289	31.885439
22.665419	21.964802	23.13931	24.132303	23.47005	28.303087
20.772326	20.090067	21.580706	23.232729	22.142633	26.608734
27.24353	26.854662	27.750854	28.418674	27.59761	28.397303
22.507357	24.289139	24.195278	26.347519	24.689617	34.139553
19.973969	17.513712	19.187243	23.467554	22.008806	28.839302
23.807884	24.4837	26.33386	28.895523	24.653093	36.372463
23.90073	23.667984	23.763977	24.851246	24.022173	23.96555
24.641232	23.297136	24.806995	25.80065	23.709673	23.943663
21.407137	21.341192	22.3303	21.481949	21.503939	22.29604
24.472528	23.918903	24.672781	23.992832	24.250025	23.918411
24.419855	23.224062	23.98405	24.625677	23.253912	22.79948
21.805481	20.841301	21.388878	22.13512	21.223145	21.906353
24.933231	23.825932	24.483955	24.988092	23.598427	23.765162
22.567858	21.647564	22.40758	22.580116	21.762846	21.48013
23.783339	22.731623	23.86361	23.820768	22.982723	23.258577
23.561333	21.67927	23.3718	23.01855	21.765528	20.559814
23.000301	22.680368	23.401854	23.52697	22.75741	22.264992
23.800228	22.836262	23.745373	23.708212	23.031206	23.408033
25.93828	23.235615	24.888655	25.852335	23.394674	22.805708
24.522802	23.422617	24.29649	23.818665	23.475285	22.870996
23.584995	22.714106	24.112251	25.131481	23.192537	22.490164
24.719118	23.671665	24.74821	24.808754	23.832602	23.850206
29.864683	28.372322	30.57113	30.110092	28.494558	27.824465
28.5047	27.664341	28.694252	29.705338	28.253227	30.0249
31.591768	30.435667	33.390373	31.56079	30.53424	30.387375
29.621788	28.454758	29.573034	28.914621	28.835686	27.849863
30.66504	30.15312	31.881805	31.834717	30.880213	30.818184
20.331696	20.460613	21.142574	21.80435	21.235434	22.118782
23.570978	23.219799	23.574667	23.660196	23.552248	24.23014
24.807306	24.507269	24.701466	25.566605	24.488798	24.35956
21.014982	21.19678	21.267675	22.688152	21.998499	23.933424
25.369522	24.965315	25.320642	25.954819	24.843107	24.861042
23.69508	23.18602	23.658651	23.18776	23.230639	22.385864
18.252708	17.47514	17.936262	17.72991	17.634289	17.968674
27.086134	25.70156	26.391886	26.946058	25.56907	25.133728
21.982538	18.975508	20.20252	21.01175	19.703375	20.34071
30.519875	30.009573	30.702284	31.116842	30.224533	31.422657
27.126755	24.97892	26.655863	27.639675	25.165937	25.103056
27.340673	26.283478	27.284794	28.23446	26.420307	27.244879
26.6831	25.183277	26.799917	26.922106	25.189417	24.438015
24.697515	23.861647	24.480358	24.717728	24.128628	23.59896
27.29885	26.193615	27.836863	27.56568	26.183367	26.115135
32.313988	32.74964	32.89859	32.48072	31.38485	30.731165
23.337933	22.254246	22.95045	23.520657	22.368883	22.201557
26.259016	25.160929	26.191221	26.859875	25.67328	25.588295
22.672709	21.63089	22.627481	22.62161	21.866499	21.429296
33.31812	31.789326	35.0212	35.73944	31.788555	30.119831
21.39005	20.520153	21.809109	21.932848	21.373222	24.15751
18.959612	18.744963	18.590557	20.426468	20.507128	25.667706
25.520338	24.317099	25.877798	26.16703	24.360863	24.237085
23.560808	22.635328	23.523186	22.540258	22.30291	20.9354
35.59688	33.66637	37.399593	37.70165	33.929214	31.42473
21.155464	21.444565	21.829664	22.874813	21.888584	23.520592
25.994488	25.298504	26.774248	27.964314	26.100882	26.847109
22.128675	21.870075	22.318045	22.744215	21.941835	21.701702
29.482746	29.28979	29.12584	31.442076	30.02166	30.773315
22.163155	21.974554	22.34715	23.328249	22.946655	23.651695
24.221806	23.842844	24.692839	25.366192	24.845343	26.006819
24.361853	24.74699	25.267996	26.740881	24.91563	26.217827
37.24802	37.52037	NA	NA	35.721615	34.845272
26.694763	25.66564	26.188877	27.159851	25.698286	25.719553
28.164564	25.33553	26.543875	27.635408	24.942682	24.134232
27.199844	26.262787	27.114777	25.453165	25.226788	23.7157
25.747776	25.199486	26.267221	26.813272	25.495298	26.455297
24.362019	24.325193	24.953245	26.565596	25.184938	28.223032
23.600327	23.302746	24.50663	25.445915	24.155817	27.964231
21.854132	20.60585	21.661024	20.997375	20.672228	19.884548
23.869095	22.208431	23.446674	22.887611	22.70589	22.744394
23.13848	20.80965	22.64311	23.453182	21.593498	21.489592
19.911123	19.223253	19.88093	19.937313	19.3111	19.65212
37.758656	NA	39.73026	NA	39.185528	33.668274
NA	38.975365	NA	NA	NA	36.466373
NA	37.342453	NA	NA	NA	32.155075
25.705606	25.134136	25.706081	25.889973	24.917639	25.339594
23.87423	24.4024	25.7845	25.248444	24.53868	26.150782
23.940676	23.661255	25.3692	24.881952	24.114773	25.65184
25.948626	24.879065	26.562508	27.756542	25.970852	26.016922
21.883545	20.94317	21.439754	22.137716	21.4236	21.74378
21.709051	20.860695	21.342573	22.007488	21.494875	21.687664
23.211935	22.793839	23.525475	24.823484	23.290037	23.652218
39.739227	NA	NA	39.361515	NA	37.526127
