"NC"	"PFOS"	"PFOA"	"Lasiocarpine"
18.288382	18.888649	18.299139	25.352612
24.140152	24.633085	24.63448	24.383438
22.761454	22.791952	22.607973	20.878105
32.436203	30.87374	32.777225	32.441303
20.517796	21.708643	21.720827	23.196098
25.165619	25.583542	25.745813	26.720533
21.21779	21.792862	21.61485	21.541563
28.419353	28.52848	28.313835	29.465094
21.374304	21.765223	21.431913	22.214483
23.80673	23.952541	24.445026	25.514065
22.245283	24.381937	24.40443	26.407377
33.53264	36.279243	NA	36.475636
24.832596	25.65814	25.445341	25.849215
24.646732	26.157114	25.818077	24.522955
25.60103	26.124	25.920218	23.71276
24.853767	25.451937	25.509048	26.243927
22.780226	24.56429	24.148548	28.245676
23.206154	23.914255	23.935001	27.247763
20.150465	20.859728	20.609638	19.948807
22.746914	22.409077	22.806067	22.931131
20.919321	21.17367	21.331564	21.420908
18.936966	19.412075	19.289228	19.65556
37.900948	39.18227	NA	35.78514
NA	36.187386	34.250095	36.164295
32.83628	35.553303	39.436848	34.227047
24.800396	24.957697	24.902103	25.434301
23.295927	23.7381	23.812895	25.299591
23.383509	23.910332	23.77141	25.015692
24.882364	25.740728	25.624687	26.090303
21.283693	20.835636	20.483776	21.56296
20.836462	20.608934	19.921982	21.396393
22.63508	22.800556	22.483345	22.99954
38.490852	37.82672	36.63696	34.129158
27.40513	28.45285	27.992933	29.466602
23.571722	24.462889	24.812458	27.178164
19.33211	20.337452	20.495955	24.225992
22.831247	24.95351	25.506332	28.93456
23.846949	24.389946	24.510439	24.719656
24.910929	25.349852	25.253363	24.426693
20.14432	20.26434	20.02113	19.427145
19.792114	19.871008	19.693186	19.721762
18.755274	19.331816	19.25858	18.968496
22.271015	22.599361	22.917244	22.983397
22.653172	22.914303	22.98298	23.736912
29.182306	29.328508	28.912138	28.763649
27.445337	28.379517	28.44344	27.9893
22.445784	22.927689	22.881853	21.206049
25.440641	25.987616	25.726446	26.014889
18.966825	19.317354	19.128828	18.815018
20.490017	19.941395	20.211432	20.608501
22.801653	23.314	22.839865	22.33576
33.48105	32.72495	34.307426	33.0081
29.990124	29.444872	30.63088	30.162645
22.812412	22.933336	22.89011	22.868542
26.63765	27.541203	26.697924	26.133526
19.88041	20.251371	19.882828	19.57358
19.851513	20.18539	19.83712	19.446697
23.169434	23.24909	22.990793	22.15197
23.756302	24.261492	24.651665	23.72066
32.21468	31.277008	30.985996	32.67584
22.7536	23.435488	23.69847	23.541647
20.890781	21.525768	21.514982	22.350706
21.324965	22.55244	22.417866	22.64445
21.91439	22.550322	22.38772	22.335802
22.52456	23.179045	22.894718	22.89417
23.107193	23.97889	23.626837	23.759624
34.01374	35.412884	39.149536	39.784515
37.6207	38.032715	38.975872	34.446117
37.160763	36.674915	39.019135	35.49305
31.53986	33.414406	32.7283	31.377455
31.324339	30.984447	32.71143	28.740545
30.921516	30.97532	30.413527	29.66735
39.711372	NA	NA	39.579628
33.402237	38.745102	38.697754	35.81851
33.9459	36.881866	31.516375	32.408154
28.950634	29.21996	28.356768	28.60068
23.980757	24.869547	23.7268	35.852013
31.58696	32.15093	32.857445	28.948637
25.366688	25.126354	24.97363	24.338427
35.78321	34.98307	35.621407	34.724705
39.07245	NA	NA	36.457024
21.199753	22.232239	21.981089	24.627104
24.952286	25.402803	25.49537	24.990631
24.643171	25.319368	24.937143	25.27099
21.82599	22.468906	22.656301	22.246117
23.633764	23.81473	23.853655	24.12296
22.996998	24.111307	23.956125	25.604387
29.19324	29.24128	29.430084	27.525099
31.29968	33.243206	33.84502	33.352543
32.86275	33.2047	32.580482	32.54207
