"NC"	"PFOS"	"PFOA"	"Aflatoxin.B1"	"Cadmium.chloride"	"Lasiocarpine"
NA	NA	NA	NA	32.63785	34.93402
23.276604	24.115292	24.245909	23.718363	23.494886	23.724943
21.575693	22.008148	22.643702	22.301823	22.002863	21.920218
28.434921	28.691029	29.207119	28.447226	28.186218	28.656183
18.18896	18.996769	18.52927	18.92535	18.33535	18.448381
28.492954	23.16629	23.731155	25.43244	28.765118	28.971712
17.686777	17.912254	17.94867	17.548128	17.809893	17.886066
25.46131	24.363464	23.791407	21.449535	24.184816	25.446688
28.223986	30.408098	29.40837	29.386202	28.669666	29.334486
21.172983	21.520456	22.116028	20.78937	21.2031	21.175125
21.875584	22.08272	22.39486	22.099678	21.89461	21.986399
25.817364	25.679792	26.617765	22.237349	24.937145	25.45485
33.89897	31.57839	31.934746	31.493696	31.470661	31.895128
18.996513	19.312723	18.947523	19.466711	18.922377	19.139776
NA	25.806479	33.175636	29.44544	33.495007	34.963135
20.261934	19.948563	20.282969	18.93492	20.264395	20.547445
19.138771	19.248878	19.383028	18.57647	19.549343	19.555683
22.157423	22.338428	22.746628	21.60913	22.227526	22.123049
18.7469	19.41805	18.929369	19.098766	18.435648	18.65907
18.585535	17.915537	18.708464	18.162777	18.923103	18.996515
20.118773	19.560305	19.440178	16.286497	19.249952	20.204058
21.734135	20.978247	21.687574	21.353195	20.4876	21.420536
19.794271	19.921118	20.139238	20.268822	20.109587	19.79523
18.96134	18.740826	19.32116	18.293955	18.938644	19.09726
19.841745	20.11016	20.646883	20.210932	20.70758	20.69109
16.268406	16.315731	17.515152	17.273802	18.496851	18.11774
31.256413	29.580076	34.5606	28.199564	30.909842	32.93836
31.8648	30.634588	31.315168	32.522617	32.931477	30.797634
25.185333	25.189867	25.442524	24.97391	25.270445	25.327265
16.817266	17.764498	17.647642	16.960155	17.127874	17.317316
27.264051	27.866882	28.204336	29.494823	28.753773	28.336737
31.53253	33.89523	33.095722	27.965921	32.231773	32.68068
NA	39.952614	37.65073	39.652897	NA	35.710636
18.550663	19.532541	19.430384	18.33567	18.997229	18.982899
36.768684	36.693356	36.85426	35.38071	35.82222	37.08205
21.43052	21.18705	21.558052	21.26673	20.81162	21.42372
23.985485	23.405218	22.954777	21.314964	23.527418	24.12284
22.650301	22.937689	22.749157	21.809282	22.858427	22.764538
27.00548	26.957664	27.190887	27.103973	27.161213	27.699194
NA	33.900894	33.657055	36.968414	39.27672	33.597282
NA	37.482635	NA	NA	32.543667	NA
22.455427	22.577444	23.170084	21.69109	22.263464	22.531208
20.776295	21.299685	20.43682	20.48817	20.521513	20.799208
28.805275	28.908968	28.441444	27.318321	28.794106	29.093811
20.590197	21.305338	21.081497	21.290077	21.14711	21.089323
20.164436	20.248962	20.187773	19.917397	20.258337	20.19064
16.071753	16.13047	16.48885	15.85047	15.975784	16.131727
23.562618	23.579607	24.564121	24.303436	23.913227	24.232628
24.132992	21.87237	23.96612	22.488678	21.714525	23.662077
22.265896	22.35878	22.662731	21.772604	22.623758	22.674496
16.983725	17.450148	17.403408	17.009457	17.578642	17.740416
19.67162	20.51245	17.978613	20.126163	19.830502	20.420233
25.08159	25.356703	24.353317	24.317234	25.120224	25.620588
18.945557	18.332478	19.383154	19.011816	19.359158	19.294966
22.529844	22.58396	22.883888	22.312141	22.70673	23.016466
33.15767	32.171005	32.817245	32.116203	34.50308	33.499557
14.921512	16.204632	15.880803	16.336609	17.87611	16.527384
18.437317	18.5199	17.97176	18.301285	18.41323	18.605888
20.608868	20.81297	21.353535	21.835402	21.953901	21.678574
NA	NA	33.690464	35.35607	NA	NA
24.042868	24.564106	24.691568	24.270689	21.14669	24.669046
33.894142	33.1683	NA	34.31025	32.414894	34.10935
33.668476	33.250294	32.79211	33.270626	33.615143	31.821224
20.203516	20.25036	19.954956	19.705027	19.492596	20.44981
20.012611	20.313984	20.502697	19.844202	20.450523	20.466192
20.136938	20.677786	19.889576	19.575054	20.634558	20.948158
33.965137	33.237858	31.979456	31.852932	31.70768	32.248863
16.518288	16.633688	16.766293	16.403156	16.75577	16.88958
17.851631	18.298117	17.973242	19.268261	19.001564	18.68325
29.614822	29.310516	29.269478	28.57398	29.221275	29.31053
22.110287	22.396255	22.518513	21.759417	21.941813	22.299084
NA	NA	39.229916	NA	NA	38.072487
22.304043	22.466928	22.522081	21.97588	22.343159	22.3769
16.549702	16.266333	17.444208	16.869665	17.832087	17.464363
18.209871	18.269997	18.516357	18.14003	18.663254	18.463522
15.7870865	15.4686775	15.392585	15.642622	15.634117	16.123232
NA	NA	NA	NA	NA	NA
21.262747	20.94959	21.55257	20.387379	20.959288	21.496346
14.99736	14.934969	15.247351	14.912037	15.213528	15.346522
20.144596	20.137068	20.277521	19.52174	20.331573	20.308392
18.234749	18.388184	18.278826	17.872696	17.849468	18.477434
29.685598	30.028862	30.988695	29.909145	29.254242	28.748058
34.35168	30.882051	33.084484	NA	35.30343	34.364548
16.287172	15.973403	16.607838	16.490911	16.8187	16.705948
14.225697	14.615881	14.678083	14.473669	14.659225	14.662183
15.408798	15.634023	15.689918	15.30433	15.757848	15.75061
15.584838	15.5636215	15.931597	15.647738	16.148321	15.99897
21.783773	21.736206	21.927532	22.005804	22.5616	22.577806
14.692949	14.76251	14.721182	14.518497	14.929356	14.841393
NA	NA	NA	NA	NA	NA
19.897083	19.740479	20.363594	19.891352	20.110245	20.550716
19.949627	19.89857	20.456305	19.980991	20.156954	20.647211
19.922993	19.884787	20.412973	19.955225	20.16521	20.665396
