"NC"	"PFOS"	"PFOA"	"Aflatoxin.B1"	"Cadmium.chloride"	"Lasiocarpine"
23.91211	24.356924	24.121658	24.11671	23.88633	24.952866
23.334148	22.643568	22.88217	22.69606	22.620825	23.75468
24.432835	23.971464	23.176785	24.205372	23.982302	26.538729
25.401241	26.200651	25.603529	25.08639	25.29578	25.105778
22.166975	21.791239	21.487118	23.476154	21.895231	22.365356
21.9262	22.001163	21.388245	21.671923	21.991241	23.289236
25.916069	25.681208	25.523531	25.430752	26.2638	24.87487
23.306505	22.471437	22.215944	23.274117	23.350283	25.472069
22.090548	20.686602	20.254059	21.395048	21.948416	22.670477
24.641148	25.0076	24.38333	24.410038	24.380424	24.968132
22.67868	22.47515	21.989758	22.31514	22.529703	24.221685
25.015099	24.769384	24.587934	24.386341	24.7383	24.95193
23.166359	23.20258	22.70409	22.896273	23.187763	23.83583
21.749508	20.86544	20.371656	21.001436	21.320642	21.722393
25.75276	24.921701	24.589611	25.195372	25.458347	28.532478
23.797632	23.630617	23.636995	23.569674	23.644867	24.731195
20.354898	19.630276	18.948185	19.741621	20.434813	20.750284
21.648436	21.227503	20.808443	21.269629	21.547674	21.562477
22.290895	22.49397	21.921278	22.107822	21.956911	22.161682
22.773226	22.927843	22.433926	22.398836	22.445427	22.777048
23.548513	22.982279	22.410042	22.511463	23.100006	23.208338
22.637966	22.369715	22.246069	22.30709	22.51987	23.273247
26.966513	27.174555	26.432224	26.91741	26.64029	28.857872
25.3816	25.17006	24.411642	25.599817	25.48698	29.774128
34.13626	33.020557	35.796906	33.21065	33.45488	34.84935
24.57528	24.345238	24.230177	23.719454	23.906878	23.179958
25.745949	25.557785	25.595526	25.251314	25.319014	25.908575
24.567257	24.549017	24.325684	23.87546	24.636105	23.772152
23.214634	22.763708	22.308033	22.723196	22.964563	23.60898
26.678993	26.421965	25.610178	25.816645	26.482584	28.560364
26.134499	26.220957	25.621891	25.547167	26.001093	26.551767
19.757664	20.417685	19.426003	19.399792	18.859652	25.947046
23.906569	23.397846	23.590267	23.536213	23.807585	22.990107
23.513676	23.389017	23.32518	22.8767	23.461002	22.58255
23.247868	24.181608	22.846437	23.264376	23.176092	27.518242
22.982426	22.709686	22.663187	22.470001	22.818121	23.296345
13.730842	13.79273	13.434246	13.384188	13.615813	15.882478
18.64728	18.553036	18.390419	18.16845	18.536863	19.846775
20.993708	20.626474	20.262646	20.5622	21.212452	22.880394
22.628283	22.244034	21.955935	21.889772	22.453201	22.908606
26.185112	25.52466	25.19652	24.620173	25.906427	23.930986
22.351532	22.011799	21.684797	21.574068	21.879318	21.549107
24.41609	24.809244	22.578865	24.420902	23.773844	27.928747
20.27293	19.85679	19.18993	19.304167	19.377987	22.705624
30.849625	30.51441	29.456926	29.962881	30.343157	31.55456
29.118187	28.527452	27.978176	28.21685	29.51127	29.460354
22.338682	22.377728	21.941124	21.9938	22.457138	22.494705
23.112495	22.628246	23.26804	23.470339	22.936506	23.277676
21.59968	20.773602	20.858526	21.335505	21.273962	21.607761
26.298367	25.931963	25.506453	25.480677	25.597094	25.136307
28.534973	28.520319	27.961218	27.711193	28.552446	27.181469
30.508774	30.511282	29.678137	29.998686	29.908873	30.444946
26.359713	26.150646	25.752918	25.837032	25.999998	26.419037
27.105453	26.255234	26.288778	25.906567	26.842014	25.264656
24.865559	24.55413	24.573242	24.580912	24.933668	25.280792
26.353914	25.978321	25.814447	25.447508	26.106373	24.877853
22.632933	22.555037	22.407495	21.722227	22.515104	21.540236
28.789856	28.502544	28.700893	28.122858	28.867783	27.650377
24.745657	24.196838	24.473503	23.850958	24.551252	24.264044
26.36135	26.117819	25.686523	25.5294	26.127487	26.001835
23.158638	24.507355	22.73749	22.80295	23.244598	23.769024
23.897278	23.897999	23.202787	22.815937	23.614656	23.086878
22.753	22.693377	22.369547	21.802416	22.480177	20.633423
26.937326	26.97309	25.760986	26.675074	27.231075	28.251627
27.834072	26.630028	27.335129	26.424541	26.814575	24.608953
29.71026	28.436338	28.823185	27.59805	28.353655	25.416338
18.873203	18.822578	18.167513	18.213339	18.587624	20.933266
25.853254	25.36282	25.248924	26.292812	25.891071	33.620342
25.099627	25.086643	24.854809	24.249529	25.234425	23.366098
25.254095	24.781773	24.373978	24.495245	25.272171	23.954573
25.221245	24.824436	24.4524	24.359114	25.0239	24.662191
24.479729	24.33177	23.976454	24.002535	24.34864	23.540468
25.930891	25.59926	25.142616	25.743849	25.721874	25.631735
21.398264	20.929224	20.409296	20.91681	21.014713	22.801271
30.59343	29.155827	29.028128	29.35564	29.597769	29.301514
31.374863	32.25429	30.529652	30.277061	30.188396	30.79864
34.745846	34.737156	33.724613	33.809624	33.51307	33.76606
31.4142	30.99576	30.647064	29.35993	30.786964	29.455215
30.622154	32.76576	30.578817	30.56752	30.597685	30.827475
25.381212	25.002468	24.62228	24.600147	25.236042	24.729383
32.563915	34.69579	31.89354	32.48834	31.87878	32.605362
23.436935	23.154295	22.948088	22.322226	23.333685	21.211433
33.098568	36.708862	32.111122	31.292679	33.168377	31.326677
35.42433	34.683296	39.564835	34.799595	37.898914	33.977028
31.807259	33.444683	31.292515	31.409903	30.682999	31.514553
20.620987	20.663355	20.389992	19.934267	20.543194	19.641003
20.604198	19.885403	19.669079	19.840374	20.473133	21.343296
23.744017	23.441877	23.133684	22.950632	23.5147	23.519567
26.975199	26.478468	26.466234	26.029045	26.781733	24.703318
27.009233	26.543447	26.61005	26.26067	26.950312	24.619734
34.60448	33.153053	33.228138	31.896658	33.610313	34.00359
23.91595	23.654572	23.442244	23.119947	23.745386	22.020357
22.944532	22.276773	22.290031	22.311852	22.91398	22.417347
24.156857	23.983433	24.187004	23.791304	24.005863	23.425165
20.195642	20.28744	20.029387	19.873796	19.966658	19.63842
24.016031	23.142677	22.774614	23.573057	24.20453	24.01468
31.627024	32.22515	30.964893	30.965622	31.63498	32.424397
24.892805	24.497948	23.577177	23.737793	24.23764	24.946
23.647413	23.491505	22.999067	23.311644	23.417751	24.576252
24.394382	24.402216	24.15358	23.675098	24.505333	23.61982
38.638443	38.439705	36.833466	38.34636	32.20264	36.231472
23.85341	23.862751	23.858957	22.875147	23.836533	23.433064
22.427109	22.237171	21.947851	21.71436	22.209694	21.8814
22.96432	22.697119	22.427286	22.476435	22.86254	23.214664
30.617983	29.524443	29.2679	28.987364	29.71741	27.72975
24.345394	23.95772	23.408016	23.149939	23.6848	23.743866
25.958208	25.88367	25.577686	25.45129	25.76923	25.168846
