Refseq;PFOS_Fold_Regulation;PFOS_pvalue;PFOA_Fold_Regulation;PFOA_pvalue;Aflatoxin B1_Fold_Regulation;Aflatoxin B1_pvalue;Cadmium chloride_Fold_Regulation;Cadmium chloride_pvalue;Lasiocarpine_Fold_Regulation;Lasiocarpine_pvalue
NM_017460;5.24;0.003741;2.19;0.04237;-5.97;0.031203;-2.85;0.123196;-464.3;0.007703
NM_000780;-3.02;0.000676;-4.28;0.00773;-14.49;0.000607;-1.93;0.235212;-2797.48;0.000021
NM_004820;-1.39;0.090937;-1.25;0.180597;-1.5;0.053469;-1.61;0.040519;-2.22;0.008967
NM_004083;1.34;0.015717;-1.08;0.841996;-1.43;0.076575;-1.08;0.426275;-1.17;0.293438
NM_001359;-1.3;0.146919;-1.39;0.241848;-1.34;0.373111;-1.82;0.017819;-2.96;0.004331
NM_005218;1.04;0.987453;-1.29;0.300656;1.4;0.276939;-1.19;0.409421;-1.08;0.736462
NM_024295;1.01;0.94758;-1.08;0.740497;-1.22;0.288096;-1.14;0.304856;-1.23;0.139029
NM_014762;-1.07;0.346538;-1.13;0.420161;-1.29;0.090141;-1.26;0.138693;-3.02;0.000013
NM_001931;-1.12;0.47243;-1.15;0.507868;-1.35;0.109728;-1.07;0.566661;-1.63;0.025169
NM_000108;-1.06;0.768562;-1.16;0.619058;-1.25;0.103417;-1.31;0.071172;-1.47;0.021403
NM_001933;1;0.912412;-1.17;0.399174;-1.05;0.365914;-1.16;0.041395;-2.03;0.000035
NM_001539;1.09;0.856365;-1.15;0.858878;1.21;0.514935;-1.07;0.619262;1.55;0.073531
NM_005880;-1.03;0.89885;-1.37;0.093364;-1.22;0.211124;-1.31;0.118097;-1.33;0.099794
NM_005147;1.11;0.265159;-1.1;0.475503;-1.01;0.935213;-1.02;0.948445;-1.92;0.000329
NM_006145;1.34;0.564947;-1.11;0.928624;1.14;0.6707;1.35;0.555279;1.29;0.65044
NM_005494;1.05;0.634297;-1.12;0.513832;1.12;0.314801;-2.26;0.11725;-1.05;0.477524
NM_006260;-1.28;0.053052;-1.62;0.128079;-1.58;0.190617;-1.28;0.187365;-1.69;0.017661
NM_025219;1.12;0.36221;-1.28;0.082352;1.02;0.935654;-1.09;0.457671;-1.62;0.018531
