Refseq;PFOS_Fold_Regulation;PFOS_pvalue;PFOA_Fold_Regulation;PFOA_pvalue;Aflatoxin B1_Fold_Regulation;Aflatoxin B1_pvalue;Cadmium chloride_Fold_Regulation;Cadmium chloride_pvalue;Lasiocarpine_Fold_Regulation;Lasiocarpine_pvalue
NM_002574;-1.09;0.752973;-1.5;0.336189;-1.11;0.657851;-1.01;0.99537;1.15;0.382591
NM_005809;-1.1;0.188443;-1.13;0.26192;-1.13;0.138375;-1.16;0.027413;-1.95;0.000174
NM_004905;1.01;0.86209;-1.08;0.854078;-1.19;0.233059;-1.31;0.074215;-1.34;0.024001
NM_006904;-1.2;0.348814;1.03;0.897616;1.08;0.720902;1.3;0.310184;1.95;0.022018
NM_000963;1.25;0.287088;-1.05;0.921035;1.45;0.219863;-1.07;0.765805;1.93;0.005478
NM_002838;-1.81;0.054669;-1.27;0.361028;-1.63;0.133618;-1.41;0.431294;-2.66;0.016552
NM_006505;1.16;0.271353;-1;0.886475;-1.52;0.07096;-1.15;0.378014;-3.16;0.001899
NM_020387;-2.06;0.257572;-1.72;0.382072;-1.08;0.771288;-1.31;0.783817;-1.19;0.561641
NM_002875;1.95;0.00465;1.27;0.22427;2.41;0.060017;1.57;0.185536;3.75;0.000017
NM_002906;-1.05;0.917332;-1.04;0.706081;-1.08;0.588491;-1.31;0.083159;1.23;0.116519
NM_020415;1.02;0.782157;-1.29;0.303705;1.37;0.314073;-1.06;0.92319;-2.06;0.068694
NM_176823;-1.46;0.38901;-1.1;0.722129;-1.38;0.474699;-1.59;0.341443;-2.15;0.228551
NM_002964;-2.89;0.017741;-1.31;0.227223;-1.64;0.151065;-1.89;0.121137;-3.78;0.013305
NM_006745;-1.53;0.069407;-1.28;0.187875;-1.98;0.051827;-1.82;0.061615;-5.35;0.003095
NM_005063;-1.91;0.052193;-1.12;0.535017;-2.3;0.045367;-2.56;0.052865;-18.71;0.004522
NM_004168;-1.09;0.553336;-1.31;0.271204;-1.04;0.561739;-1.23;0.03212;-1.84;0.000033
NM_003000;-1.07;0.559135;-1.43;0.26457;-1.26;0.098726;-1.45;0.024726;-1.93;0.002245
NM_003001;-1.28;0.025234;-1.38;0.050441;-1.62;0.002882;-1.34;0.025458;-2.38;0.000162
NM_003002;-1.18;0.22613;-1.25;0.11781;-1.47;0.035784;-1.3;0.078425;-2.53;0.003965
NM_003262;1.02;0.755032;-1.23;0.695913;-1.22;0.724054;1.15;0.953152;1.06;0.787589
NM_005065;-1.06;0.667688;-1.4;0.296565;-1.44;0.292079;-1.14;0.593033;-2.02;0.010419
NM_203472;-1.13;0.504488;-1.26;0.333635;-1.32;0.211795;-2.06;0.034608;-2.87;0.012262
NM_014445;-1.08;0.443393;-1.16;0.680683;-1.32;0.138508;-1.21;0.361356;-1.45;0.01501
NM_001085;1.58;0.014538;1.15;0.532875;-1.28;0.365433;-1.26;0.439031;-6.04;0.00142
NM_003049;-1.01;0.821331;-1.64;0.310444;-4.8;0.086842;-2.01;0.33239;-67.51;0.007444
NM_006931;-2.41;0.211465;-2.64;0.464353;-1.63;0.837306;1.05;0.997963;-2.93;0.30444
NM_021094;-1.49;0.377204;-2.01;0.368123;-2.83;0.20071;-2.71;0.227927;-7.02;0.113454
NM_000543;-1.13;0.231446;-1.07;0.485397;-1.15;0.180691;-1.16;0.143099;-1.7;0.006877
NM_000454;-1.09;0.464155;-1.12;0.234086;-1.07;0.715198;-1.29;0.075793;-1.11;0.339199
NM_006038;-1.05;0.652704;-1;0.896915;-1.27;0.257746;-1.13;0.450132;-2.31;0.016121
NM_004176;-1.04;0.779003;-1.01;0.931064;-1.97;0.055432;-1.59;0.091383;-10.47;0.004225
NM_003943;-1.12;0.553775;-1.05;0.658418;-1.94;0.047787;-1.67;0.127317;-6.58;0.004016
NM_003850;-1.06;0.809155;1.06;0.627553;-1.41;0.021177;-1.37;0.02336;-1.34;0.077859
NM_003849;-1.23;0.008213;-1.17;0.22116;-1.48;0.027645;-1.2;0.164734;-1.41;0.002587
NM_003848;1.25;0.394304;-1.08;0.317264;-1.19;0.304214;-1.35;0.021423;-2.9;0.000211
NM_014258;1.24;0.312911;-1.11;0.846911;-1.02;0.640009;-1.6;0.028769;-2.17;0.005962
NM_005639;-1.07;0.696526;1.15;0.517602;-1.37;0.402305;-1.58;0.097137;-1.92;0.0336
NM_172230;-1.07;0.65118;1.08;0.858582;-1.33;0.501805;-1.64;0.105943;-3.57;0.015319
NM_003186;-1.05;0.732296;-1.09;0.611795;-1.23;0.590957;-1.19;0.410929;-2.81;0.003563
NM_030752;1.15;0.290996;-1.06;0.751078;1.13;0.314452;1.08;0.503941;1.51;0.005395
NM_003226;1.13;0.970358;-1.26;0.609641;1.02;0.872604;1.17;0.84898;-1.72;0.265927
NM_000660;1.02;0.866649;-1.22;0.459646;1.26;0.115443;1.12;0.355644;-1.01;0.890603
NM_001282564;1.05;0.845278;-1.14;0.758371;-1.42;0.347121;-1.17;0.34742;-1.73;0.031137
NM_000594;1;0.909179;-1.2;0.327037;-1.14;0.687422;-1.32;0.212977;1.49;0.362938
NM_152362;1.25;0.396337;1.2;0.516555;-1.16;0.776955;-1.12;0.530053;-14.39;0.020216
NM_003844;1.34;0.586772;-1.18;0.677453;1.26;0.569095;1.29;0.687417;1.62;0.262393
NM_003842;1.08;0.716623;-1.17;0.70608;-1.03;0.851758;1.02;0.991442;-1.08;0.578856
NM_001065;1.13;0.616334;1.01;0.96116;-1.29;0.335397;-1.02;0.839926;-25.83;0.02877
NM_003810;-2.41;0.001232;-1.9;0.032476;-1.84;0.024609;-1.68;0.110821;-2.84;0.000736
NM_000546;1.25;0.186974;1.15;0.247875;1.45;0.150979;-1.07;0.667781;1.04;0.745949
NM_000547;1.34;0.324091;-1.07;0.861459;2.43;0.081314;2.15;0.00982;1.67;0.116997
NM_006778;-1.07;0.589714;1.02;0.768477;-1.87;0.050931;-1.57;0.028589;-4.41;0.000813
NM_006472;1.44;0.618887;3.24;0.008409;1.16;0.903761;1.3;0.867564;1.12;0.791569
NM_017853;-1.01;0.986861;1.12;0.260247;-1.05;0.897518;-1.24;0.045314;-1.6;0.089582
NM_006440;-1.11;0.554938;1.09;0.801497;-1.55;0.180394;-2.43;0.160788;-2.28;0.233502
NM_182688;1.01;0.838979;1.19;0.649171;-1.12;0.667214;-1.14;0.635842;-1.59;0.17201
NM_194458;-1.12;0.342456;-1.05;0.653488;-1.01;0.851431;-1.15;0.293373;-1.3;0.058678
NM_013444;-1.23;0.04024;-1.01;0.841356;-1.36;0.433124;-1.09;0.304997;-1.17;0.159473
NM_014607;-1.06;0.721534;-1.01;0.952349;-1.38;0.096514;-1.52;0.024311;-1.7;0.013983
NM_021833;-1.53;0.332974;-1.07;0.89397;-1.18;0.604636;-3.66;0.088972;-2.86;0.142522
NM_003355;-2.49;0.161458;-2.1;0.341914;-1.11;0.81538;-1.21;0.825274;-1.62;0.292118
NM_003356;-1.32;0.465815;1.17;0.704545;1.03;0.753166;-1.74;0.373056;-1.13;0.616852
NM_000463;1.83;0.000508;2.01;0.007876;-1.11;0.67509;-1.48;0.045047;-7.01;0.000103
NM_006798;-2.37;0.235731;-1.55;0.443966;-2.23;0.25801;-1.39;0.804133;-3.48;0.185804
NM_021139;-1.77;0.032913;-1.9;0.050876;-2.27;0.139189;-1.79;0.288905;-41.7;0.000271
NM_007126;1.05;0.806419;-1.2;0.777899;-1.09;0.549044;-1.07;0.604433;-1.44;0.141418
NM_017983;-1.34;0.129827;-1.5;0.103691;-1.62;0.000159;-1.43;0.000333;-2.23;0.000053
NM_005080;-1.03;0.737354;-1.15;0.718434;-1.47;0.355097;-1.42;0.539622;-5.97;0.00988
NM_001167;-1.01;0.911984;-1.25;0.41637;-1.35;0.358794;-1.07;0.546663;-1.11;0.323018
NM_000380;-1.07;0.724768;1.2;0.365193;-1.18;0.340871;-1.86;0.029737;-1.13;0.353281
NM_004628;1.2;0.504187;1.14;0.663743;1.27;0.395339;1.06;0.742256;1.09;0.819115
NM_006297;1.15;0.292548;-1.28;0.191107;1.19;0.136374;1.28;0.048255;1.37;0.020768
NM_021141;1.09;0.492739;-1.11;0.688635;1.09;0.283941;1.04;0.69142;1.39;0.002672
;;0.986645;;0.351479;;0.984866;;0.208755;;0.626371
;;0.039652;;0.101746;;0.091734;;0.021406;;0.005644
;;0.92321;;0.355117;;0.150574;;0.518693;;0.024084
;;0.165894;;0.550518;;0.176766;;0.843225;;0.000051
;;0.154966;;0.122392;;0.360638;;0.349174;;0.776408
