"NC"	"PFOS"	"PFOA"	"Aflatoxin.B1"	"Cadmium.chloride"	"Lasiocarpine"
36.80266	34.53692	33.831367	33.60052	34.9183	33.41233
23.110182	23.88827	23.58218	24.15678	23.532759	23.398085
21.957323	22.327179	22.250807	22.585674	21.926126	21.979593
28.242086	28.443132	28.24897	29.987432	27.42334	28.844194
18.182535	18.704754	18.12715	19.3384	18.65344	18.431276
27.694578	23.744154	22.899963	25.853367	28.46192	28.762472
17.684093	17.851566	17.714222	17.982363	17.847618	17.934607
21.482182	23.680239	22.920446	20.602083	22.00407	23.107168
28.971773	28.924871	28.334394	29.162893	28.809364	28.433458
21.094585	21.50641	21.230371	21.209719	21.512135	21.510447
21.986645	21.930803	21.727627	22.200874	21.93615	22.330832
25.204153	26.117645	25.792479	22.945868	25.628967	25.651625
31.813522	30.919031	30.5766	30.577023	31.742624	30.709297
18.798286	18.928268	18.592888	19.620144	19.37553	19.288563
33.111744	30.591509	32.867523	31.616978	32.83998	32.78742
20.664446	20.338818	19.824406	19.529802	19.814922	20.688517
19.434662	19.41527	19.334536	19.01463	19.802626	19.571611
21.706938	22.24818	21.763102	21.833956	22.547384	22.353443
18.574535	19.132427	18.703152	19.416706	18.995367	18.678064
19.156261	18.517334	18.6734	18.669638	18.833286	19.231932
19.535198	19.918007	19.515491	16.755478	18.675287	20.262686
20.85496	21.143631	21.202631	21.191935	21.08487	21.154387
19.662767	19.769922	19.7243	20.236946	20.241	19.572403
18.747074	18.8967	18.813927	18.573051	19.243914	19.237005
20.776175	20.615015	20.792486	20.507488	20.661535	20.691427
17.251398	17.222893	17.15796	16.386461	16.87009	16.597826
30.200666	31.569237	32.62088	29.125193	30.806978	30.133165
31.53962	30.671547	30.871023	33.9328	32.645092	31.672476
24.480732	25.209309	23.94453	25.51598	25.666641	24.839941
17.36131	17.963894	17.272009	17.70596	17.3208	17.303146
28.680756	27.334394	27.907724	30.007423	27.912552	27.998459
32.58141	31.24635	33.402042	27.906536	32.270863	NA
36.993	35.561092	37.760765	36.842506	NA	35.374454
19.138166	19.603361	19.138844	19.117495	18.98291	18.852592
32.529938	32.88578	32.92933	34.087963	34.093616	37.90377
21.20907	21.304441	20.701817	20.951227	20.771988	21.3535
23.153933	23.809069	22.840311	21.716597	21.915863	23.774855
22.634016	23.340715	22.384756	22.239769	22.857388	22.91609
27.591839	27.316175	27.229103	26.740866	27.357367	27.319872
35.321026	35.521603	33.45643	35.254105	38.126743	38.277206
NA	38.54783	NA	33.836468	39.8224	NA
